Date,SPY,QQQ,TLT
2006-08-31,90.4612045288086,33.2359504699707,46.995994567871094
2006-09-01,91.0013427734375,33.415496826171875,47.0120735168457
2006-09-05,91.1744155883789,33.740413665771484,46.717403411865234
2006-09-06,90.37115478515625,33.064910888671875,46.653133392333984
2006-09-07,89.95571899414062,32.911006927490234,46.74418640136719
2006-09-08,90.21192169189453,33.107688903808594,46.781707763671875
2006-09-11,90.30196380615234,33.312889099121094,46.73884963989258
2006-09-12,91.18827056884766,33.928524017333984,46.97454833984375
2006-09-13,91.55531311035156,34.159385681152344,46.9959716796875
2006-09-14,91.56220245361328,34.193603515625,46.88882827758789
2006-09-15,91.777099609375,34.315948486328125,46.85137176513672
2006-09-18,91.90229797363281,34.32449722290039,46.77634048461914
2006-09-19,91.67279052734375,34.0935173034668,47.30131912231445
2006-09-20,92.15966796875,34.5897331237793,47.37095642089844
2006-09-21,91.71451568603516,34.375823974609375,47.80485534667969
2006-09-22,91.43633270263672,34.11061477661133,48.04056167602539
2006-09-25,92.13874816894531,34.7094841003418,48.37807083129883
2006-09-26,92.9037857055664,34.88059997558594,48.17447280883789
2006-09-27,93.0151138305664,34.83781433105469,48.035221099853516
2006-09-28,92.98028564453125,34.93193054199219,47.954891204833984
2006-09-29,92.9037857055664,34.7779541015625,47.89594650268555
2006-10-02,92.55604553222656,34.341609954833984,48.02715301513672
2006-10-03,92.75080871582031,34.48704147338867,47.96263885498047
2006-10-04,93.83577728271484,35.33404541015625,48.31221008300781
2006-10-05,94.0166244506836,35.50515365600586,47.973384857177734
2006-10-06,93.89834594726562,35.42815017700195,47.47322463989258
2006-10-09,93.95399475097656,35.54791259765625,47.60224151611328
2006-10-10,94.07917785644531,35.60783004760742,47.22582244873047
2006-10-11,93.96792602539062,35.53937530517578,47.08595657348633
2006-10-12,94.7816162109375,36.10403060913086,47.11289596557617
2006-10-13,95.0250244140625,36.30079650878906,46.876220703125
2006-10-16,95.17110443115234,36.33504104614258,47.08595657348633
2006-10-17,94.87201690673828,35.932918548583984,47.123680114746094
2006-10-18,94.99722290039062,35.761817932128906,47.22044372558594
2006-10-19,95.15027618408203,35.84735870361328,47.13440704345703
2006-10-20,95.17110443115234,35.932918548583984,47.08595657348633
2006-10-23,95.60928344726562,36.30079650878906,46.89775085449219
2006-10-24,95.89439392089844,36.05268859863281,46.89775085449219
2006-10-25,96.22132110595703,36.30079650878906,47.26882553100586
2006-10-26,96.52037811279297,36.63447952270508,47.575401306152344
2006-10-27,95.91525268554688,36.11259460449219,47.795936584472656
2006-10-30,95.84575653076172,36.34357833862305,47.93039321899414
2006-10-31,95.83183288574219,36.42914962768555,48.30144500732422
2006-11-01,95.18497467041016,35.932918548583984,48.56870651245117
2006-11-02,95.12934875488281,35.96715545654297,48.36897659301758
2006-11-03,94.96246337890625,35.8730354309082,47.796627044677734
2006-11-06,96.03353118896484,36.39492416381836,47.93705368041992
2006-11-07,96.40211486816406,36.64303970336914,48.15840530395508
2006-11-08,96.61076354980469,36.814125061035156,48.331146240234375
2006-11-09,96.10307312011719,36.64303970336914,48.30414581298828
2006-11-10,96.14476776123047,36.814125061035156,48.514713287353516
2006-11-13,96.38124084472656,37.19058609008789,48.50392532348633
2006-11-14,97.10457611083984,37.584136962890625,48.69288635253906
2006-11-15,97.3827896118164,37.73814392089844,48.50930404663086
2006-11-16,97.6331558227539,37.90068054199219,48.287967681884766
2006-11-17,97.66094970703125,37.90068054199219,48.56330108642578
2006-11-20,97.71661376953125,37.9776725769043,48.63885498046875
2006-11-21,97.8139877319336,38.029014587402344,48.757652282714844
2006-11-22,98.00869750976562,38.26858139038086,48.83864974975586
2006-11-24,97.61229705810547,38.200138092041016,48.925071716308594
2006-11-27,96.26998138427734,37.336029052734375,49.103214263916016
2006-11-28,96.6872787475586,37.447242736816406,49.20577621459961
2006-11-29,97.69577026367188,37.70391082763672,49.09238815307617
2006-11-30,97.73750305175781,37.67822265625,49.416343688964844
2006-12-01,97.52186584472656,37.35312271118164,49.54206085205078
2006-12-04,98.26602172851562,37.86643981933594,49.62876510620117
2006-12-05,98.6903076171875,38.00333786010742,49.395729064941406
2006-12-06,98.60681915283203,37.86643981933594,49.29814910888672
2006-12-07,98.17561340332031,37.38734817504883,49.260292053222656
2006-12-08,98.35647583007812,37.5584831237793,48.902584075927734
2006-12-11,98.64160919189453,37.69535446166992,49.113929748535156
2006-12-12,98.56509399414062,37.472904205322266,49.216941833496094
2006-12-13,98.66941833496094,37.54136657714844,48.777957916259766
2006-12-14,99.5387954711914,37.96055603027344,48.59911346435547
2006-12-15,99.54784393310547,38.05821228027344,48.62621307373047
2006-12-18,99.27509307861328,37.68131637573242,48.6424560546875
2006-12-19,99.46395874023438,37.5613899230957,48.57748031616211
2006-12-20,99.40802764892578,37.42435073852539,48.572025299072266
2006-12-21,99.04434204101562,37.15880584716797,48.815921783447266
2006-12-22,98.43585968017578,36.77333068847656,48.44197463989258
2006-12-26,99.016357421875,36.92750930786133,48.58828353881836
2006-12-27,99.66680908203125,37.11597442626953,48.23103713989258
2006-12-28,99.45696258544922,36.93610382080078,48.12227249145508
2006-12-29,99.04434204101562,36.97034454345703,48.08420181274414
2007-01-03,98.86947631835938,37.038875579833984,48.42679977416992
2007-01-04,99.07931518554688,37.741275787353516,48.720428466796875
2007-01-05,98.28900146484375,37.5613899230957,48.50833511352539
2007-01-08,98.74365234375,37.58710861206055,48.59537887573242
2007-01-09,98.65969848632812,37.775535583496094,48.59537887573242
2007-01-10,98.9883804321289,38.22098159790039,48.37784957885742
2007-01-11,99.42204284667969,38.61500930786133,48.09511184692383
2007-01-12,100.17731475830078,38.8120231628418,47.87220001220703
2007-01-16,99.98149108886719,38.78633117675781,47.97544479370117
2007-01-17,100.02349853515625,38.4693717956543,47.82865524291992
2007-01-18,99.68777465820312,37.7584228515625,47.97544479370117
2007-01-19,99.88360595703125,37.835506439208984,47.84495544433594
