SPY,QQQ,TLT
-1.76709004e-03,1.85195995e-03,7.09969630e-03
2.12013364e-03,1.87862916e-02,6.04504302e-03
-8.00855941e-03,-4.77768495e-03,-4.36277665e-03
4.61498820e-03,6.84476482e-04,1.79280034e-03
-8.50581939e-04,5.00055077e-03,0.00000000e+00
3.32593416e-03,1.17229350e-02,-4.48638589e-03
4.37137422e-03,1.02564217e-02,-5.86150849e-03
7.56791530e-03,5.08903089e-03,-4.64558674e-03
-1.95668366e-03,-6.62178657e-04,2.15435281e-03
4.20063989e-04,-8.20550839e-03,-3.06437127e-03
-3.36209557e-03,-1.86538142e-02,3.06437127e-03
1.96251949e-03,2.03941282e-03,-2.72362523e-03
-3.08550478e-03,-1.09264037e-02,2.38364708e-03
2.94548522e-03,-2.52107200e-03,-6.59733385e-03
8.02046997e-03,1.63862835e-02,-1.14582533e-04
-1.18092718e-02,-1.29501890e-02,-7.21577648e-03
-9.14025233e-04,-3.66543112e-03,-8.05272431e-04
-5.63377009e-04,9.17337294e-04,-2.18880587e-03
5.19591949e-03,4.58812594e-04,1.15172843e-03
6.70075708e-03,1.00339084e-02,8.37267911e-03
5.96455843e-03,-1.58939584e-03,-1.20381332e-03
1.38203842e-03,3.63007866e-03,1.26214709e-03
2.76284065e-04,-9.06814945e-04,1.37530611e-03
2.76132462e-04,-1.36075537e-03,5.48222829e-03
2.20624389e-03,9.03798965e-03,2.95596122e-03
-1.30932081e-03,-2.25297685e-04,7.95345226e-04
-7.47543472e-03,-1.29059004e-02,-5.69029420e-03
-3.40962158e-03,-3.88229439e-03,-2.28473549e-03
8.39919732e-03,3.42579188e-03,-2.17535247e-03
6.54610110e-03,1.67316574e-02,9.46960310e-03
1.30416853e-03,5.81178819e-03,2.94699122e-03
-4.80545315e-04,-3.34909949e-03,3.50374433e-03
2.12504441e-03,7.57640685e-03,2.25421097e-03
-4.11301003e-04,3.10255000e-03,-1.68998471e-03
-7.53033166e-04,5.07638181e-03,-5.42769934e-03
-3.91573495e-03,-3.52870904e-03,7.11768405e-03
-8.95043654e-04,-4.87207514e-03,6.61871117e-03
-3.98406104e-02,-4.19424382e-02,1.25560905e-02
1.01983674e-02,3.23635905e-03,-4.53780890e-03
-2.98486105e-03,-4.62633208e-03,-6.34265597e-04
-1.31816500e-02,-1.51855185e-02,5.00085596e-03
-9.56444119e-03,-7.79886820e-03,1.66218031e-03
1.69650554e-02,1.64708955e-02,-2.99303581e-03
-1.00308454e-03,-3.97517617e-03,3.87766466e-03
8.42002493e-03,6.77163209e-03,-8.84628847e-04
2.84117618e-04,-9.31214181e-04,-1.05702922e-02
1.49048801e-03,6.50128963e-03,3.90725588e-03
-1.96254265e-02,-1.96309037e-02,5.99866526e-03
7.42262145e-03,1.45263693e-02,-4.55093313e-03
1.36324403e-03,-2.32873358e-03,-1.11444528e-04
-2.80411649e-03,-7.70315872e-04,-2.22771389e-04
1.19833951e-02,1.02209679e-02,-2.11702150e-03
5.47682770e-03,7.13865286e-03,5.57704847e-04
1.63231510e-02,1.90916506e-02,4.45800444e-04
-7.67634377e-04,-3.60862908e-03,-7.94216530e-03
1.46595107e-03,-3.16786469e-03,-2.81165605e-03
-1.32632355e-03,4.07144446e-03,1.23759537e-03
-2.37677970e-03,-7.02232066e-03,-1.68900110e-03
-7.30638498e-03,-1.07420632e-02,-2.03019692e-03
1.05645739e-03,1.14869253e-03,-1.35536460e-03
2.11677950e-04,-9.18827989e-04,-1.92323021e-03
1.12651139e-03,1.37705773e-03,1.65760416e-03
1.07046775e-02,1.29918579e-02,-1.24934898e-03
1.11311825e-03,4.06776553e-03,1.02309801e-03
2.70710451e-03,4.94949126e-03,-3.75319495e-03
1.38597865e-03,-2.47193376e-03,-6.63354256e-03
1.17602113e-03,5.16142072e-03,2.97955936e-03
-4.08818714e-03,-1.05751928e-02,-6.86967925e-04
4.43376848e-03,7.88570589e-03,2.28962395e-04
4.55201169e-03,2.01799239e-03,-3.09458858e-03
9.45156881e-03,9.14010335e-03,5.49517771e-03
2.65450924e-03,2.21689417e-03,5.57756900e-03
1.22346661e-03,-3.32689032e-03,4.98295674e-03
-2.71850542e-04,3.10561908e-03,-1.69701541e-03
9.39679085e-03,5.52204719e-03,-2.60490113e-03
-3.77479608e-03,1.54052876e-03,3.62348727e-03
4.05169207e-04,5.04563514e-03,3.72278855e-03
9.13918053e-03,1.32598628e-02,-3.49682942e-03
1.13740926e-03,5.16833278e-03,-7.25866357e-03
-8.03012105e-04,4.30239691e-04,-2.27526490e-04
-8.32697745e-03,-1.31851500e-02,1.04206629e-02
2.55906602e-03,-8.71123486e-04,7.22748789e-04
5.83534422e-03,1.08296048e-02,-5.64297672e-04
5.40184088e-03,3.65538604e-03,-2.26445213e-03
3.78386566e-03,8.58410706e-04,4.07119052e-03
1.98910099e-04,0.00000000e+00,2.70481835e-03
-1.32587825e-03,2.14204657e-03,-2.25284436e-03
2.71606396e-03,2.13784816e-03,-3.95633580e-03
-1.05074413e-02,-1.37606803e-02,2.37474242e-03
8.52091070e-03,1.26921848e-02,-3.50864298e-03
-2.18983790e-03,-6.86364306e-03,-2.61126639e-03
2.65386471e-04,-7.77889844e-03,-3.41287708e-04
6.81760271e-03,9.71377457e-03,-6.82138722e-04
-1.98104641e-03,-4.73682481e-03,-4.10468574e-03
8.68670120e-03,8.16823479e-03,-6.65095763e-03
-5.24494679e-04,6.40223427e-03,2.98638872e-03
-7.86580933e-04,8.50649875e-04,-5.17367750e-03
1.31092276e-04,-4.68703170e-03,-2.88717833e-03
-9.09427043e-03,-1.44105052e-02,9.24743656e-04
4.16224870e-03,6.26300007e-03,-2.31190457e-03
3.61939715e-03,7.72012981e-03,-1.16483718e-04
8.11186759e-03,8.08566597e-03,2.08185932e-03
-1.04260239e-03,4.65079393e-03,-1.85050523e-03
4.94417192e-03,6.32697176e-04,-5.26670306e-03
1.29891587e-04,2.94714950e-03,4.54686564e-03
-3.96597616e-03,0.00000000e+00,-6.30152683e-03
-1.08083545e-02,-1.07768931e-02,-4.67957302e-04
